task_id,department,section_id,asset_id,asset_type,task_type,defect_type,severity,criticality,days_to_deadline,asset_age,failure_history,maintenance_frequency,estimated_duration_hours,required_team_size,safety_impact_encoded,train_traffic_density,expected_train_conflicts,historical_failure_rate,priority_score,priority_class,power_block_required,signal_block_required,track_block_required,status
ENG0597,Engineering,SEC063,AST0288,Track,Rail Replacement,End-post fracture,3,MEDIUM,17,9.3,9,10.42,10.8,11,2,0.203,11.0,3.0,61.8,HIGH,False,False,True,Cancelled
ENG0598,Engineering,SEC053,AST0278,Track,Rail Replacement,End-post fracture,4,LOW,36,20.6,10,11.83,7.5,10,1,0.25,9.4,4.69,40.8,MEDIUM,False,False,True,Pending
ENG0599,Engineering,SEC063,AST0138,Track,Track Geometry Correction,Twist fault,3,MEDIUM,19,19.3,10,10.42,5.9,4,2,0.203,6.0,3.0,61.3,HIGH,False,False,True,Cancelled
ENG0600,Engineering,SEC042,AST0117,Track,Ballast Maintenance,Fouled ballast,2,HIGH,11,23.3,10,11.0,11.7,8,3,0.291,17.0,4.95,81.9,CRITICAL,False,False,True,Completed
ENG0601,Engineering,SEC035,AST0035,Track,Track Geometry Correction,Gauge irregularity,5,LOW,65,6.1,8,10.58,6.3,5,1,0.482,15.2,4.57,30.3,LOW,False,False,True,Completed
ENG0602,Engineering,SEC018,AST0168,Track,Rail Replacement,Broken rail,2,HIGH,13,23.4,6,11.92,1.1,5,3,0.416,2.3,4.53,83.4,CRITICAL,False,False,True,Cancelled
ENG0603,Engineering,SEC001,AST0226,Track,Ballast Maintenance,Drainage blockage,2,HIGH,7,1.5,9,10.25,3.7,2,3,0.426,7.9,4.45,84.8,CRITICAL,False,False,True,Scheduled
ENG0604,Engineering,SEC072,AST0297,Track,Track Alignment,Vertical misalignment,4,LOW,59,9.9,10,11.17,8.9,5,1,0.24,10.7,4.96,35.5,LOW,False,False,True,Completed
ENG0605,Engineering,SEC016,AST0091,Track,Rail Replacement,Rail end batter,2,HIGH,12,9.2,10,12.25,7.4,5,3,0.424,15.7,4.21,83.7,CRITICAL,False,False,True,Completed
ENG0606,Engineering,SEC015,AST0015,Track,Track Geometry Correction,Twist fault,2,HIGH,7,20.6,10,11.67,7.8,11,3,0.45,17.5,3.48,85.2,CRITICAL,False,False,True,Completed
ENG0607,Engineering,SEC006,AST0081,Track,Track Alignment,Cant deficiency,4,LOW,25,5.5,10,12.58,11.3,12,1,0.501,28.3,5.48,47.0,MEDIUM,False,False,True,Scheduled
ENG0608,Engineering,SEC071,AST0371,Track,Turnout Maintenance,Point mechanism fault,5,LOW,90,8.0,10,9.92,10.6,12,1,0.222,11.8,6.15,20.8,LOW,False,False,True,Scheduled
ENG0609,Engineering,SEC049,AST0199,Track,Welding,Thermit weld defect,2,HIGH,8,27.1,9,10.5,10.3,8,3,0.329,16.9,4.91,83.2,CRITICAL,False,False,True,Completed
ENG0610,Engineering,SEC017,AST0092,Track,Track Geometry Correction,Alignment defect,4,LOW,41,9.2,10,10.67,4.8,4,1,0.384,9.2,3.81,41.6,MEDIUM,False,False,True,Completed
ENG0611,Engineering,SEC064,AST0139,Track,Ballast Maintenance,Fouled ballast,5,LOW,60,20.0,9,9.83,5.6,9,1,0.245,6.9,6.15,27.8,LOW,False,False,True,Scheduled
ENG0612,Engineering,SEC051,AST0126,Track,Rail Replacement,Broken rail,3,MEDIUM,26,10.1,10,10.25,2.3,5,2,0.258,3.0,4.19,60.6,HIGH,False,False,True,Completed
ENG0613,Engineering,SEC013,AST0013,Track,Welding,Weld crack,1,CRITICAL,6,15.0,8,12.08,10.9,2,3,0.475,25.9,5.41,98.3,CRITICAL,False,False,True,In Progress
ENG0614,Engineering,SEC036,AST0186,Track,Ballast Maintenance,Insufficient ballast,5,LOW,89,27.6,9,11.42,11.9,9,1,0.521,31.0,4.29,25.5,LOW,False,False,True,Completed
ENG0615,Engineering,SEC062,AST0137,Track,Sleeper Replacement,Decayed wooden sleeper,5,LOW,46,18.3,8,10.58,10.2,3,1,0.2,10.2,4.8,30.3,LOW,False,False,True,In Progress
ENG0616,Engineering,SEC033,AST0033,Track,Turnout Maintenance,Crossing nose defect,5,LOW,73,6.5,10,12.0,10.7,9,1,0.492,26.3,4.08,28.7,LOW,False,False,True,Cancelled
ENG0617,Engineering,SEC071,AST0146,Track,Track Geometry Correction,Gauge irregularity,1,CRITICAL,5,9.7,10,9.92,2.1,2,3,0.222,2.3,6.15,94.7,CRITICAL,False,False,True,Completed
ENG0618,Engineering,SEC052,AST0202,Track,Turnout Maintenance,Check rail gap,3,MEDIUM,21,2.6,10,10.33,8.1,11,2,0.2,8.1,6.06,60.8,HIGH,False,False,True,Scheduled
ENG0619,Engineering,SEC002,AST0077,Track,Welding,Weld depression,3,MEDIUM,16,22.0,10,12.75,5.3,3,2,0.341,9.0,5.79,64.1,HIGH,False,False,True,In Progress
ENG0620,Engineering,SEC004,AST0154,Track,Rail Replacement,End-post fracture,3,MEDIUM,23,1.8,5,10.42,5.5,14,2,0.435,12.0,4.46,63.9,HIGH,False,False,True,Scheduled
ENG0621,Engineering,SEC072,AST0072,Track,Rail Replacement,Severely worn rail,2,HIGH,13,2.2,10,11.17,2.9,3,3,0.24,3.5,4.96,80.7,CRITICAL,False,False,True,Cancelled
ENG0622,Engineering,SEC067,AST0292,Track,Rail Replacement,Broken rail,3,MEDIUM,21,8.4,10,8.83,4.7,3,2,0.258,6.1,4.95,61.7,HIGH,False,False,True,Completed
ENG0623,Engineering,SEC032,AST0257,Track,Track Alignment,Buckling risk,2,HIGH,8,2.0,10,12.0,6.8,15,3,0.349,11.9,3.71,83.5,CRITICAL,False,False,True,In Progress
ENG0624,Engineering,SEC025,AST0025,Track,Ballast Maintenance,Insufficient ballast,5,LOW,73,24.7,7,11.67,5.7,2,1,0.482,13.7,4.77,28.5,LOW,False,False,True,Scheduled
ENG0625,Engineering,SEC044,AST0194,Track,Rail Replacement,Severely worn rail,3,MEDIUM,20,19.8,10,12.25,6.3,8,2,0.347,10.9,5.07,63.3,HIGH,False,False,True,Completed
ENG0626,Engineering,SEC046,AST0121,Track,Rail Replacement,Rail end batter,3,MEDIUM,23,28.2,9,10.33,9.5,13,2,0.27,12.8,6.88,61.4,HIGH,False,False,True,Completed
ENG0627,Engineering,SEC020,AST0320,Track,Turnout Maintenance,Switch tongue wear,2,HIGH,11,13.9,10,10.75,6.0,10,3,0.384,11.5,4.16,83.3,CRITICAL,False,False,True,Scheduled
ENG0628,Engineering,SEC070,AST0295,Track,Rail Inspection,Rail crack,2,HIGH,12,19.5,10,10.42,11.3,3,3,0.228,12.9,3.73,80.8,CRITICAL,False,False,True,Scheduled
ENG0629,Engineering,SEC055,AST0055,Track,Track Geometry Correction,Cross-level error,2,HIGH,15,28.8,10,12.5,10.4,8,3,0.211,11.0,4.48,79.8,HIGH,False,False,True,Completed
ENG0630,Engineering,SEC003,AST0078,Track,Rail Inspection,Worn rail head,2,HIGH,8,3.3,10,12.67,5.6,4,3,0.492,13.8,4.29,85.6,CRITICAL,False,False,True,Pending
ENG0631,Engineering,SEC065,AST0215,Track,Rail Replacement,Rail end batter,2,HIGH,10,15.1,10,10.75,1.5,14,3,0.287,2.2,3.89,82.1,CRITICAL,False,False,True,Completed
ENG0632,Engineering,SEC014,AST0389,Track,Rail Inspection,Worn rail head,3,MEDIUM,21,22.0,9,11.17,6.9,10,2,0.454,15.7,3.68,64.6,HIGH,False,False,True,Pending
ENG0633,Engineering,SEC031,AST0106,Track,Ballast Maintenance,Fouled ballast,4,LOW,26,5.0,10,11.42,10.6,5,1,0.405,21.5,5.31,45.3,MEDIUM,False,False,True,Scheduled
ENG0634,Engineering,SEC019,AST0244,Track,Rail Replacement,End-post fracture,1,CRITICAL,3,19.5,5,12.17,10.7,2,3,0.488,26.1,3.64,99.2,CRITICAL,False,False,True,Completed
ENG0635,Engineering,SEC035,AST0110,Track,Rail Inspection,Gauge deviation,4,LOW,52,0.8,6,10.58,7.6,4,1,0.482,18.3,4.57,40.7,MEDIUM,False,False,True,Completed
ENG0636,Engineering,SEC011,AST0311,Track,Track Geometry Correction,Twist fault,2,HIGH,8,3.0,10,13.25,5.3,9,3,0.484,12.8,5.46,85.5,CRITICAL,False,False,True,Scheduled
ENG0637,Engineering,SEC014,AST0389,Track,Rail Replacement,Severely worn rail,2,HIGH,11,22.0,9,11.17,1.3,5,3,0.454,3.0,3.68,84.4,CRITICAL,False,False,True,Completed
ENG0638,Engineering,SEC069,AST0069,Track,Turnout Maintenance,Switch tongue wear,3,MEDIUM,15,5.6,5,9.42,4.2,8,2,0.2,4.2,4.93,62.2,HIGH,False,False,True,Pending
ENG0639,Engineering,SEC029,AST0179,Track,Turnout Maintenance,Point mechanism fault,2,HIGH,11,9.5,10,10.5,2.4,12,3,0.512,6.1,4.95,85.2,CRITICAL,False,False,True,Pending
ENG0640,Engineering,SEC019,AST0394,Track,Turnout Maintenance,Switch tongue wear,1,CRITICAL,7,25.0,10,12.17,7.5,14,3,0.488,18.3,3.64,98.3,CRITICAL,False,False,True,Scheduled
ENG0641,Engineering,SEC027,AST0252,Track,Track Geometry Correction,Twist fault,3,MEDIUM,20,12.2,10,11.75,7.7,9,2,0.357,13.7,4.24,63.4,HIGH,False,False,True,Completed
ENG0642,Engineering,SEC061,AST0361,Track,Ballast Maintenance,Vegetation growth,3,MEDIUM,18,25.0,10,11.5,1.9,5,2,0.206,2.0,4.81,61.6,HIGH,False,False,True,Cancelled
ENG0643,Engineering,SEC002,AST0302,Track,Track Alignment,Lateral misalignment,4,LOW,25,25.1,10,12.75,11.1,6,1,0.341,18.9,5.79,44.6,MEDIUM,False,False,True,Completed
ENG0644,Engineering,SEC044,AST0269,Track,Sleeper Replacement,Missing sleeper,1,CRITICAL,7,0.7,8,12.25,4.6,6,3,0.347,8.0,5.07,96.1,CRITICAL,False,False,True,Pending
ENG0645,Engineering,SEC075,AST0375,Track,Track Geometry Correction,Gauge irregularity,4,LOW,40,14.1,8,9.83,5.4,14,1,0.2,5.4,4.64,39.1,LOW,False,False,True,Pending
ENG0646,Engineering,SEC004,AST0379,Track,Ballast Maintenance,Drainage blockage,3,MEDIUM,24,4.6,10,10.42,7.6,7,2,0.435,16.5,4.46,63.7,HIGH,False,False,True,Cancelled
ENG0647,Engineering,SEC007,AST0307,Track,Ballast Maintenance,Fouled ballast,3,MEDIUM,14,21.0,10,11.25,10.3,2,2,0.474,24.4,4.8,66.5,HIGH,False,False,True,Cancelled
ENG0648,Engineering,SEC010,AST0010,Track,Rail Replacement,Severely worn rail,2,HIGH,14,2.1,10,11.0,3.2,6,3,0.468,7.5,3.88,83.9,CRITICAL,False,False,True,Scheduled
ENG0649,Engineering,SEC004,AST0379,Track,Sleeper Replacement,Cracked sleeper,4,LOW,30,4.6,10,10.42,2.0,14,1,0.435,4.4,4.46,44.9,MEDIUM,False,False,True,Completed
ENG0650,Engineering,SEC046,AST0196,Track,Welding,Misaligned weld,3,MEDIUM,16,18.1,8,10.33,4.9,13,2,0.27,6.6,6.88,63.0,HIGH,False,False,True,Pending
ENG0651,Engineering,SEC007,AST0007,Track,Welding,Misaligned weld,3,MEDIUM,29,21.1,10,11.25,3.5,13,2,0.474,8.3,4.8,63.2,HIGH,False,False,True,Completed
ENG0652,Engineering,SEC057,AST0282,Track,Track Geometry Correction,Cross-level error,5,LOW,65,24.5,6,9.08,8.6,14,1,0.347,14.9,4.81,28.3,LOW,False,False,True,Completed
ENG0653,Engineering,SEC014,AST0014,Track,Ballast Maintenance,Vegetation growth,2,HIGH,11,12.7,6,11.17,1.5,10,3,0.454,3.4,3.68,84.4,CRITICAL,False,False,True,Scheduled
ENG0654,Engineering,SEC032,AST0182,Track,Track Alignment,Buckling risk,3,MEDIUM,26,16.3,8,12.0,3.1,7,2,0.349,5.4,3.71,62.0,HIGH,False,False,True,Completed
ENG0655,Engineering,SEC046,AST0046,Track,Welding,Misaligned weld,4,LOW,40,14.7,9,10.33,8.2,8,1,0.27,11.1,6.88,40.2,MEDIUM,False,False,True,Completed
ENG0656,Engineering,SEC058,AST0208,Track,Turnout Maintenance,Point mechanism fault,2,HIGH,14,27.3,10,10.75,11.3,5,3,0.273,15.4,4.97,81.0,CRITICAL,False,False,True,Completed
ENG0657,Engineering,SEC034,AST0259,Track,Sleeper Replacement,Broken concrete sleeper,5,LOW,68,3.3,10,10.58,11.5,3,1,0.339,19.5,6.29,27.5,LOW,False,False,True,Pending
ENG0658,Engineering,SEC003,AST0078,Track,Track Alignment,Buckling risk,1,CRITICAL,3,3.3,10,12.67,1.9,8,3,0.492,4.7,4.29,99.2,CRITICAL,False,False,True,Completed
ENG0659,Engineering,SEC068,AST0068,Track,Turnout Maintenance,Crossing nose defect,4,LOW,38,7.5,9,10.58,11.2,6,1,0.306,17.1,4.65,41.1,MEDIUM,False,False,True,Scheduled
ENG0660,Engineering,SEC013,AST0238,Track,Ballast Maintenance,Vegetation growth,4,LOW,35,3.5,10,12.08,4.5,10,1,0.475,10.7,5.41,44.3,MEDIUM,False,False,True,Scheduled
ENG0661,Engineering,SEC067,AST0067,Track,Track Geometry Correction,Gauge irregularity,4,LOW,59,27.9,10,8.83,5.8,10,1,0.258,7.5,4.95,35.8,LOW,False,False,True,Scheduled
ENG0662,Engineering,SEC009,AST0084,Track,Turnout Maintenance,Switch tongue wear,3,MEDIUM,26,18.3,8,11.75,10.3,4,2,0.418,21.5,4.44,63.0,HIGH,False,False,True,Pending
ENG0663,Engineering,SEC053,AST0278,Track,Ballast Maintenance,Insufficient ballast,2,HIGH,8,20.6,10,11.83,5.6,15,3,0.25,7.0,4.69,82.0,CRITICAL,False,False,True,Pending
ENG0664,Engineering,SEC008,AST0083,Track,Track Alignment,Cant deficiency,4,LOW,38,2.1,10,12.17,5.0,11,1,0.455,11.4,5.1,43.4,MEDIUM,False,False,True,Completed
ENG0665,Engineering,SEC056,AST0206,Track,Sleeper Replacement,Cracked sleeper,3,MEDIUM,25,14.0,10,11.58,5.9,3,2,0.285,8.4,4.77,61.2,HIGH,False,False,True,Pending
ENG0666,Engineering,SEC024,AST0249,Track,Rail Inspection,Corrugation,3,MEDIUM,22,5.1,7,12.42,1.8,11,2,0.413,3.7,5.04,63.8,HIGH,False,False,True,Completed
ENG0667,Engineering,SEC026,AST0026,Track,Turnout Maintenance,Switch tongue wear,2,HIGH,7,24.5,10,11.42,2.0,15,3,0.516,5.2,7.05,86.2,CRITICAL,False,False,True,Completed
ENG0668,Engineering,SEC017,AST0092,Track,Sleeper Replacement,Broken concrete sleeper,4,LOW,25,9.2,10,10.67,1.9,10,1,0.384,3.6,3.81,45.2,MEDIUM,False,False,True,In Progress
ENG0669,Engineering,SEC002,AST0077,Track,Track Geometry Correction,Gauge irregularity,2,HIGH,10,22.0,10,12.75,10.7,12,3,0.341,18.2,5.79,82.9,CRITICAL,False,False,True,Pending
ENG0670,Engineering,SEC074,AST0299,Track,Track Alignment,Buckling risk,2,HIGH,8,4.9,10,10.33,4.4,4,3,0.24,5.3,5.14,81.8,CRITICAL,False,False,True,Cancelled
ENG0671,Engineering,SEC046,AST0346,Track,Track Geometry Correction,Gauge irregularity,2,HIGH,9,21.3,9,10.33,3.7,14,3,0.27,5.0,6.88,82.0,CRITICAL,False,False,True,Cancelled
ENG0672,Engineering,SEC052,AST0202,Track,Sleeper Replacement,Cracked sleeper,4,LOW,57,2.6,10,10.33,8.1,3,1,0.2,8.1,6.06,35.3,LOW,False,False,True,Scheduled
ENG0673,Engineering,SEC009,AST0084,Track,Rail Inspection,Rail crack,3,MEDIUM,26,18.3,8,11.75,4.4,10,2,0.418,9.2,4.44,63.0,HIGH,False,False,True,Completed
ENG0674,Engineering,SEC009,AST0009,Track,Ballast Maintenance,Vegetation growth,3,MEDIUM,14,29.4,10,11.75,2.8,5,2,0.418,5.9,4.44,65.7,HIGH,False,False,True,Pending
ENG0675,Engineering,SEC018,AST0093,Track,Turnout Maintenance,Switch tongue wear,3,MEDIUM,23,10.7,10,11.92,5.0,5,2,0.416,10.4,4.53,63.6,HIGH,False,False,True,In Progress
ENG0676,Engineering,SEC041,AST0116,Track,Sleeper Replacement,Cracked sleeper,3,MEDIUM,29,24.7,6,9.08,8.1,5,2,0.21,8.5,4.21,59.2,MEDIUM,False,False,True,Pending
ENG0677,Engineering,SEC062,AST0062,Track,Track Geometry Correction,Twist fault,3,MEDIUM,23,6.5,10,10.58,7.7,9,2,0.2,7.7,4.8,60.4,HIGH,False,False,True,Scheduled
ENG0678,Engineering,SEC055,AST0355,Track,Rail Inspection,Worn rail head,5,LOW,74,27.3,10,12.5,11.7,9,1,0.211,12.3,4.48,24.2,LOW,False,False,True,Pending
ENG0679,Engineering,SEC038,AST0188,Track,Ballast Maintenance,Insufficient ballast,5,LOW,81,27.9,10,11.25,7.5,12,1,0.411,15.4,5.15,25.7,LOW,False,False,True,Cancelled
ENG0680,Engineering,SEC028,AST0028,Track,Welding,Weld crack,1,CRITICAL,6,26.7,8,10.92,4.2,4,3,0.519,10.9,5.33,99.0,CRITICAL,False,False,True,Pending
ENG0681,Engineering,SEC024,AST0099,Track,Turnout Maintenance,Switch tongue wear,5,LOW,82,11.8,10,12.42,11.0,2,1,0.413,22.7,5.04,25.5,LOW,False,False,True,Pending
ENG0682,Engineering,SEC061,AST0061,Track,Rail Inspection,Corrugation,4,LOW,33,15.2,10,11.5,2.5,14,1,0.206,2.6,4.81,40.8,MEDIUM,False,False,True,Scheduled
ENG0683,Engineering,SEC028,AST0103,Track,Ballast Maintenance,Fouled ballast,5,LOW,42,19.6,8,10.92,7.5,14,1,0.519,19.5,5.33,36.0,LOW,False,False,True,Pending
ENG0684,Engineering,SEC066,AST0216,Track,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,22,4.2,10,11.67,8.3,13,2,0.27,11.2,3.83,61.7,HIGH,False,False,True,Completed
ENG0685,Engineering,SEC053,AST0278,Track,Track Geometry Correction,Cross-level error,3,MEDIUM,29,20.6,10,11.83,11.2,9,2,0.25,14.0,4.69,59.8,MEDIUM,False,False,True,Scheduled
ENG0686,Engineering,SEC012,AST0087,Track,Track Alignment,Lateral misalignment,4,LOW,55,4.0,4,12.17,7.9,4,1,0.404,16.0,4.46,38.8,LOW,False,False,True,Cancelled
ENG0687,Engineering,SEC074,AST0224,Track,Ballast Maintenance,Drainage blockage,2,HIGH,7,22.5,10,10.33,3.4,14,3,0.24,4.1,5.14,82.0,CRITICAL,False,False,True,In Progress
ENG0688,Engineering,SEC054,AST0279,Track,Ballast Maintenance,Insufficient ballast,2,HIGH,7,0.9,10,10.58,8.2,13,3,0.227,9.3,6.59,81.8,CRITICAL,False,False,True,Pending
ENG0689,Engineering,SEC005,AST0155,Track,Turnout Maintenance,Crossing nose defect,4,LOW,42,26.1,10,11.75,10.9,9,1,0.528,28.8,3.62,43.6,MEDIUM,False,False,True,Completed
ENG0690,Engineering,SEC073,AST0373,Track,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,22,5.3,10,11.17,8.7,9,2,0.208,9.0,4.9,60.7,HIGH,False,False,True,Scheduled
ENG0691,Engineering,SEC015,AST0090,Track,Track Alignment,Vertical misalignment,5,LOW,43,7.5,9,11.67,10.8,9,1,0.45,24.3,3.48,34.7,LOW,False,False,True,Completed
ENG0692,Engineering,SEC048,AST0048,Track,Ballast Maintenance,Fouled ballast,3,MEDIUM,19,28.9,7,11.25,4.5,11,2,0.293,6.6,3.75,62.7,HIGH,False,False,True,Pending
ENG0693,Engineering,SEC015,AST0090,Track,Ballast Maintenance,Vegetation growth,3,MEDIUM,27,7.5,9,11.67,4.8,15,2,0.45,10.8,3.48,63.2,HIGH,False,False,True,Pending
ENG0694,Engineering,SEC061,AST0061,Track,Track Geometry Correction,Alignment defect,4,LOW,52,15.2,10,11.5,11.3,7,1,0.206,11.6,4.81,36.5,LOW,False,False,True,Completed
ENG0695,Engineering,SEC036,AST0111,Track,Track Geometry Correction,Twist fault,4,LOW,32,8.5,10,11.42,8.3,8,1,0.521,21.6,4.29,45.7,MEDIUM,False,False,True,Pending
ENG0696,Engineering,SEC048,AST0198,Track,Turnout Maintenance,Check rail gap,4,LOW,60,10.0,9,11.25,9.9,5,1,0.293,14.5,3.75,36.1,LOW,False,False,True,Pending
ENG0697,Engineering,SEC054,AST0129,Track,Track Alignment,Vertical misalignment,1,CRITICAL,6,26.9,10,10.58,4.9,9,3,0.227,5.6,6.59,94.6,CRITICAL,False,False,True,Pending
ENG0698,Engineering,SEC064,AST0289,Track,Sleeper Replacement,Cracked sleeper,3,MEDIUM,18,12.4,10,9.83,8.0,6,2,0.245,9.8,6.15,62.2,HIGH,False,False,True,Scheduled
ENG0699,Engineering,SEC010,AST0385,Track,Welding,Weld crack,5,LOW,84,27.7,8,11.0,2.7,6,1,0.468,6.3,3.88,25.9,LOW,False,False,True,Cancelled
ENG0700,Engineering,SEC024,AST0174,Track,Rail Replacement,End-post fracture,3,MEDIUM,14,7.6,8,12.42,10.2,4,2,0.413,21.1,5.04,65.6,HIGH,False,False,True,Completed
ENG0701,Engineering,SEC072,AST0147,Track,Turnout Maintenance,Switch tongue wear,4,LOW,42,3.8,8,11.17,2.9,10,1,0.24,3.5,4.96,39.3,LOW,False,False,True,Scheduled
ENG0702,Engineering,SEC030,AST0030,Track,Track Geometry Correction,Alignment defect,3,MEDIUM,18,6.1,10,12.25,1.7,5,2,0.409,3.5,3.96,64.6,HIGH,False,False,True,Cancelled
ENG0703,Engineering,SEC038,AST0113,Track,Ballast Maintenance,Vegetation growth,5,LOW,64,3.4,8,11.25,1.4,6,1,0.411,2.9,5.15,29.4,LOW,False,False,True,Pending
ENG0704,Engineering,SEC015,AST0015,Track,Sleeper Replacement,Missing sleeper,5,LOW,72,20.6,10,11.67,6.5,2,1,0.45,14.6,3.48,28.2,LOW,False,False,True,Scheduled
ENG0705,Engineering,SEC056,AST0131,Track,Turnout Maintenance,Point mechanism fault,3,MEDIUM,14,13.6,10,11.58,9.6,14,2,0.285,13.7,4.77,63.7,HIGH,False,False,True,Scheduled
ENG0706,Engineering,SEC004,AST0004,Track,Welding,Weld depression,3,MEDIUM,16,2.8,10,10.42,9.8,8,2,0.435,21.3,4.46,65.5,HIGH,False,False,True,Pending
ENG0707,Engineering,SEC054,AST0279,Track,Track Alignment,Cant deficiency,2,HIGH,9,0.9,10,10.58,7.5,9,3,0.227,8.5,6.59,81.4,CRITICAL,False,False,True,Scheduled
ENG0708,Engineering,SEC052,AST0202,Track,Track Alignment,Cant deficiency,4,LOW,51,2.6,10,10.33,9.3,4,1,0.2,9.3,6.06,36.7,LOW,False,False,True,Cancelled
ENG0709,Engineering,SEC016,AST0316,Track,Welding,Weld crack,2,HIGH,9,13.4,10,12.25,9.9,12,3,0.424,21.0,4.21,84.4,CRITICAL,False,False,True,Pending
ENG0710,Engineering,SEC051,AST0351,Track,Ballast Maintenance,Insufficient ballast,3,MEDIUM,17,4.0,10,10.25,3.9,9,2,0.258,5.0,4.19,62.6,HIGH,False,False,True,Pending
ENG0711,Engineering,SEC035,AST0260,Track,Ballast Maintenance,Insufficient ballast,4,LOW,52,20.5,10,10.58,7.7,12,1,0.482,18.6,4.57,40.7,MEDIUM,False,False,True,Cancelled
ENG0712,Engineering,SEC038,AST0038,Track,Turnout Maintenance,Switch tongue wear,2,HIGH,11,16.2,10,11.25,7.3,6,3,0.411,15.0,5.15,83.7,CRITICAL,False,False,True,In Progress
ENG0713,Engineering,SEC037,AST0037,Track,Welding,Weld crack,2,HIGH,7,12.6,9,10.08,11.6,15,3,0.498,28.9,5.05,85.9,CRITICAL,False,False,True,Completed
ENG0714,Engineering,SEC072,AST0297,Track,Track Alignment,Cant deficiency,3,MEDIUM,18,9.9,10,11.17,2.6,3,2,0.24,3.1,4.96,62.1,HIGH,False,False,True,Pending
ENG0715,Engineering,SEC011,AST0236,Track,Rail Inspection,Surface defect,3,MEDIUM,28,3.8,10,13.25,5.7,2,2,0.484,13.8,5.46,63.5,HIGH,False,False,True,Scheduled
ENG0716,Engineering,SEC018,AST0318,Track,Track Alignment,Cant deficiency,4,LOW,46,3.2,10,11.92,5.3,6,1,0.416,11.0,4.53,41.0,MEDIUM,False,False,True,Completed
ENG0717,Engineering,SEC068,AST0368,Track,Rail Inspection,Surface defect,3,MEDIUM,30,17.1,10,10.58,2.8,11,2,0.306,4.3,4.65,60.4,HIGH,False,False,True,Completed
ENG0718,Engineering,SEC052,AST0052,Track,Track Alignment,Vertical misalignment,4,LOW,38,1.2,8,10.33,2.5,8,1,0.2,2.5,6.06,39.6,LOW,False,False,True,Completed
ENG0719,Engineering,SEC049,AST0274,Track,Turnout Maintenance,Crossing nose defect,4,LOW,43,1.7,10,10.5,10.3,6,1,0.329,16.9,4.91,40.4,MEDIUM,False,False,True,Scheduled
ENG0720,Engineering,SEC047,AST0197,Track,Rail Replacement,Severely worn rail,1,CRITICAL,6,27.4,8,10.08,4.4,10,3,0.204,4.5,5.36,94.2,CRITICAL,False,False,True,Scheduled
ENG0721,Engineering,SEC016,AST0316,Track,Track Alignment,Lateral misalignment,5,LOW,69,13.4,10,12.25,8.0,3,1,0.424,17.0,4.21,28.5,LOW,False,False,True,Completed
ENG0722,Engineering,SEC044,AST0194,Track,Rail Inspection,Corrugation,1,CRITICAL,3,19.8,10,12.25,6.8,6,3,0.347,11.8,5.07,97.0,CRITICAL,False,False,True,Completed
ENG0723,Engineering,SEC022,AST0247,Track,Rail Inspection,Gauge deviation,1,CRITICAL,6,26.5,10,13.08,6.4,7,3,0.39,12.5,4.96,97.0,CRITICAL,False,False,True,Completed
ENG0724,Engineering,SEC044,AST0269,Track,Track Alignment,Vertical misalignment,3,MEDIUM,24,0.7,8,12.25,9.4,3,2,0.347,16.3,5.07,62.4,HIGH,False,False,True,Scheduled
ENG0725,Engineering,SEC017,AST0317,Track,Sleeper Replacement,Decayed wooden sleeper,4,LOW,33,13.0,9,10.67,3.8,14,1,0.384,7.3,3.81,43.4,MEDIUM,False,False,True,Completed
ENG0726,Engineering,SEC034,AST0109,Track,Track Alignment,Buckling risk,5,LOW,82,4.0,10,10.58,2.4,9,1,0.339,4.1,6.29,24.4,LOW,False,False,True,Scheduled
ENG0727,Engineering,SEC024,AST0174,Track,Welding,Thermit weld defect,4,LOW,35,7.6,8,12.42,10.9,15,1,0.413,22.5,5.04,43.4,MEDIUM,False,False,True,Pending
ENG0728,Engineering,SEC048,AST0273,Track,Turnout Maintenance,Crossing nose defect,5,LOW,52,17.8,10,11.25,8.1,6,1,0.293,11.9,3.75,30.3,LOW,False,False,True,Scheduled
ENG0729,Engineering,SEC011,AST0011,Track,Rail Replacement,Broken rail,3,MEDIUM,24,1.4,10,13.25,1.8,9,2,0.484,4.4,5.46,64.4,HIGH,False,False,True,Pending
ENG0730,Engineering,SEC022,AST0322,Track,Rail Inspection,Rail crack,4,LOW,54,1.3,10,13.08,6.9,12,1,0.39,13.5,4.96,38.8,LOW,False,False,True,Scheduled
ENG0731,Engineering,SEC026,AST0026,Track,Track Alignment,Buckling risk,3,MEDIUM,16,24.5,10,11.42,2.8,5,2,0.516,7.2,7.05,66.7,HIGH,False,False,True,Pending
ENG0732,Engineering,SEC065,AST0365,Track,Sleeper Replacement,Decayed wooden sleeper,2,HIGH,14,4.4,10,10.75,5.9,7,3,0.287,8.5,3.89,81.2,CRITICAL,False,False,True,In Progress
ENG0733,Engineering,SEC001,AST0151,Track,Rail Replacement,Broken rail,2,HIGH,14,21.8,10,10.25,11.4,12,3,0.426,24.3,4.45,83.3,CRITICAL,False,False,True,Scheduled
