task_id,asset_id,section_id,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status,days_until_due,urgency_category
ENG0713,AST0037,SEC037,Welding,Weld crack,2,HIGH,2025-05-17,2025-05-19,2025-05-26,11.6,15,HIGH,Completed,7,Urgent
ENG0714,AST0297,SEC072,Track Alignment,Cant deficiency,3,MEDIUM,2025-08-12,2025-08-13,2025-08-31,2.6,3,MEDIUM,Pending,18,Normal
ENG0715,AST0236,SEC011,Rail Inspection,Surface defect,3,MEDIUM,2025-06-04,2025-06-05,2025-07-03,5.7,2,MEDIUM,Scheduled,28,Normal
ENG0716,AST0318,SEC018,Track Alignment,Cant deficiency,4,LOW,2025-10-07,2025-10-07,2025-11-22,5.3,6,LOW,Completed,46,Low
ENG0717,AST0368,SEC068,Rail Inspection,Surface defect,3,MEDIUM,2025-05-15,2025-05-16,2025-06-15,2.8,11,MEDIUM,Completed,30,Normal
ENG0718,AST0052,SEC052,Track Alignment,Vertical misalignment,4,LOW,2025-08-28,2025-08-30,2025-10-07,2.5,8,LOW,Completed,38,Low
ENG0719,AST0274,SEC049,Turnout Maintenance,Crossing nose defect,4,LOW,2025-07-25,2025-07-26,2025-09-07,10.3,6,LOW,Scheduled,43,Low
ENG0720,AST0197,SEC047,Rail Replacement,Severely worn rail,1,CRITICAL,2025-01-06,2025-01-06,2025-01-12,4.4,10,HIGH,Scheduled,6,Urgent
ENG0721,AST0316,SEC016,Track Alignment,Lateral misalignment,5,LOW,2025-11-28,2025-12-01,2026-02-08,8.0,3,LOW,Completed,69,Low
ENG0722,AST0194,SEC044,Rail Inspection,Corrugation,1,CRITICAL,2025-12-20,2025-12-20,2025-12-23,6.8,6,HIGH,Completed,3,Urgent
ENG0723,AST0247,SEC022,Rail Inspection,Gauge deviation,1,CRITICAL,2025-06-01,2025-06-01,2025-06-07,6.4,7,HIGH,Completed,6,Urgent
ENG0724,AST0269,SEC044,Track Alignment,Vertical misalignment,3,MEDIUM,2025-05-30,2025-05-30,2025-06-23,9.4,3,MEDIUM,Scheduled,24,Normal
ENG0725,AST0317,SEC017,Sleeper Replacement,Decayed wooden sleeper,4,LOW,2025-10-07,2025-10-08,2025-11-10,3.8,14,LOW,Completed,33,Low
ENG0726,AST0109,SEC034,Track Alignment,Buckling risk,5,LOW,2025-10-13,2025-10-14,2026-01-04,2.4,9,LOW,Scheduled,82,Low
ENG0727,AST0174,SEC024,Welding,Thermit weld defect,4,LOW,2025-08-27,2025-08-30,2025-10-04,10.9,15,LOW,Pending,35,Low
ENG0728,AST0273,SEC048,Turnout Maintenance,Crossing nose defect,5,LOW,2025-06-19,2025-06-19,2025-08-10,8.1,6,LOW,Scheduled,52,Low
ENG0729,AST0011,SEC011,Rail Replacement,Broken rail,3,MEDIUM,2025-05-17,2025-05-17,2025-06-10,1.8,9,MEDIUM,Pending,24,Normal
ENG0730,AST0322,SEC022,Rail Inspection,Rail crack,4,LOW,2025-09-22,2025-09-23,2025-11-16,6.9,12,LOW,Scheduled,54,Low
ENG0731,AST0026,SEC026,Track Alignment,Buckling risk,3,MEDIUM,2025-03-10,2025-03-13,2025-03-29,2.8,5,MEDIUM,Pending,16,Normal
ENG0732,AST0365,SEC065,Sleeper Replacement,Decayed wooden sleeper,2,HIGH,2025-10-07,2025-10-07,2025-10-21,5.9,7,HIGH,In Progress,14,Normal
ENG0733,AST0151,SEC001,Rail Replacement,Broken rail,2,HIGH,2024-12-31,2025-01-02,2025-01-16,11.4,12,HIGH,Scheduled,14,Normal
ENG0734,AST0281,SEC056,Welding,Thermit weld defect,3,MEDIUM,2025-12-08,2025-12-09,2025-12-28,7.4,7,MEDIUM,Completed,19,Normal
ENG0735,AST0020,SEC020,Welding,Misaligned weld,4,LOW,2025-09-19,2025-09-20,2025-10-18,9.6,3,LOW,Scheduled,28,Normal
ENG0736,AST0041,SEC041,Track Alignment,Vertical misalignment,2,HIGH,2025-09-30,2025-10-01,2025-10-16,1.3,9,HIGH,Completed,15,Normal
ENG0737,AST0297,SEC072,Track Geometry Correction,Alignment defect,4,LOW,2025-05-07,2025-05-07,2025-06-26,5.2,6,LOW,Completed,50,Low
ENG0738,AST0103,SEC028,Turnout Maintenance,Crossing nose defect,5,LOW,2025-06-10,2025-06-12,2025-07-26,6.6,2,LOW,Cancelled,44,Low
ENG0739,AST0329,SEC029,Track Geometry Correction,Twist fault,3,MEDIUM,2025-08-04,2025-08-05,2025-09-04,3.1,6,MEDIUM,Pending,30,Normal
ENG0740,AST0215,SEC065,Ballast Maintenance,Fouled ballast,3,MEDIUM,2025-09-14,2025-09-14,2025-10-10,5.5,14,MEDIUM,Pending,26,Normal
ENG0741,AST0081,SEC006,Ballast Maintenance,Insufficient ballast,2,HIGH,2025-10-07,2025-10-07,2025-10-17,6.8,8,HIGH,Pending,10,Normal
ENG0742,AST0371,SEC071,Track Alignment,Buckling risk,4,LOW,2025-01-12,2025-01-12,2025-03-04,7.8,14,LOW,Scheduled,51,Low
ENG0743,AST0165,SEC015,Ballast Maintenance,Drainage blockage,3,MEDIUM,2025-04-03,2025-04-06,2025-05-05,7.2,9,MEDIUM,Completed,29,Normal
ENG0744,AST0146,SEC071,Sleeper Replacement,Missing sleeper,4,LOW,2025-07-22,2025-07-23,2025-09-01,10.0,6,LOW,Scheduled,40,Low
ENG0745,AST0122,SEC047,Rail Replacement,Broken rail,1,CRITICAL,2025-12-03,2025-12-04,2025-12-09,2.6,4,HIGH,Pending,5,Urgent
ENG0746,AST0360,SEC060,Welding,Misaligned weld,2,HIGH,2025-11-08,2025-11-11,2025-11-25,1.7,9,HIGH,Scheduled,14,Normal
ENG0747,AST0020,SEC020,Sleeper Replacement,Missing sleeper,3,MEDIUM,2025-09-06,2025-09-08,2025-10-04,1.3,7,MEDIUM,Cancelled,26,Normal
ENG0748,AST0290,SEC065,Track Alignment,Vertical misalignment,4,LOW,2025-04-03,2025-04-04,2025-05-21,7.4,6,LOW,Pending,47,Low
ENG0749,AST0208,SEC058,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,2025-10-28,2025-10-29,2025-11-21,4.2,13,MEDIUM,Pending,23,Normal
ENG0750,AST0062,SEC062,Track Geometry Correction,Gauge irregularity,3,MEDIUM,2025-01-06,2025-01-08,2025-01-31,11.6,2,MEDIUM,Pending,23,Normal
ENG0751,AST0224,SEC074,Rail Replacement,End-post fracture,3,MEDIUM,2025-04-12,2025-04-14,2025-05-07,4.6,3,MEDIUM,Scheduled,23,Normal
ENG0752,AST0308,SEC008,Turnout Maintenance,Check rail gap,3,MEDIUM,2025-12-13,2025-12-13,2025-12-31,7.4,8,MEDIUM,Pending,18,Normal
ENG0753,AST0243,SEC018,Track Geometry Correction,Cross-level error,3,MEDIUM,2025-12-09,2025-12-11,2026-01-06,11.3,4,MEDIUM,Pending,26,Normal
ENG0754,AST0123,SEC048,Rail Replacement,Broken rail,5,LOW,2025-04-07,2025-04-09,2025-06-06,4.8,3,LOW,Pending,58,Low
ENG0755,AST0381,SEC006,Rail Inspection,Rail crack,3,MEDIUM,2025-03-03,2025-03-03,2025-04-02,2.0,2,MEDIUM,Pending,30,Normal
ENG0756,AST0111,SEC036,Track Geometry Correction,Cross-level error,2,HIGH,2025-04-10,2025-04-13,2025-04-25,9.3,5,HIGH,Pending,12,Normal
ENG0757,AST0124,SEC049,Rail Replacement,Severely worn rail,4,LOW,2025-02-03,2025-02-06,2025-03-11,7.5,5,LOW,Scheduled,33,Low
ENG0758,AST0096,SEC021,Ballast Maintenance,Vegetation growth,3,MEDIUM,2025-09-17,2025-09-17,2025-10-04,10.5,4,MEDIUM,In Progress,17,Normal
ENG0759,AST0037,SEC037,Ballast Maintenance,Fouled ballast,3,MEDIUM,2025-05-06,2025-05-09,2025-06-03,11.4,8,MEDIUM,Pending,25,Normal
ENG0760,AST0092,SEC017,Track Alignment,Cant deficiency,3,MEDIUM,2025-04-18,2025-04-19,2025-05-12,6.8,14,MEDIUM,Scheduled,23,Normal
ENG0761,AST0295,SEC070,Ballast Maintenance,Vegetation growth,4,LOW,2025-12-04,2025-12-05,2026-02-02,2.3,14,LOW,Completed,59,Low
ENG0762,AST0016,SEC016,Turnout Maintenance,Switch tongue wear,4,LOW,2025-09-19,2025-09-19,2025-11-08,4.3,2,LOW,Completed,50,Low
ENG0763,AST0353,SEC053,Rail Inspection,Corrugation,3,MEDIUM,2025-04-19,2025-04-19,2025-05-04,7.2,10,MEDIUM,Pending,15,Normal
ENG0764,AST0005,SEC005,Welding,Misaligned weld,4,LOW,2025-05-24,2025-05-26,2025-07-23,8.7,6,LOW,Completed,58,Low
ENG0765,AST0156,SEC006,Track Geometry Correction,Twist fault,3,MEDIUM,2025-04-08,2025-04-09,2025-05-03,9.3,7,MEDIUM,Scheduled,24,Normal
ENG0766,AST0338,SEC038,Track Geometry Correction,Twist fault,3,MEDIUM,2025-08-11,2025-08-13,2025-09-12,9.1,6,MEDIUM,In Progress,30,Normal
ENG0767,AST0092,SEC017,Rail Replacement,Severely worn rail,3,MEDIUM,2025-04-27,2025-04-28,2025-05-12,2.9,6,MEDIUM,Completed,14,Normal
ENG0768,AST0096,SEC021,Rail Replacement,Broken rail,3,MEDIUM,2025-08-01,2025-08-01,2025-08-15,4.4,12,MEDIUM,Pending,14,Normal
ENG0769,AST0138,SEC063,Welding,Misaligned weld,5,LOW,2025-10-12,2025-10-14,2025-11-28,4.8,14,LOW,Completed,45,Low
ENG0770,AST0045,SEC045,Turnout Maintenance,Switch tongue wear,5,LOW,2025-06-01,2025-06-04,2025-08-18,11.0,10,LOW,Pending,75,Low
ENG0771,AST0359,SEC059,Track Alignment,Buckling risk,3,MEDIUM,2025-04-28,2025-04-30,2025-05-23,5.9,5,MEDIUM,Completed,23,Normal
ENG0772,AST0123,SEC048,Rail Replacement,Broken rail,3,MEDIUM,2025-08-23,2025-08-25,2025-09-22,3.4,11,MEDIUM,In Progress,28,Normal
ENG0773,AST0366,SEC066,Rail Replacement,Rail end batter,3,MEDIUM,2025-03-16,2025-03-19,2025-04-09,8.2,3,MEDIUM,Cancelled,21,Normal
ENG0774,AST0303,SEC003,Sleeper Replacement,Missing sleeper,2,HIGH,2025-08-22,2025-08-25,2025-09-05,9.0,9,HIGH,Cancelled,11,Normal
ENG0775,AST0326,SEC026,Turnout Maintenance,Point mechanism fault,1,CRITICAL,2025-03-17,2025-03-19,2025-03-26,9.4,3,HIGH,Pending,7,Urgent
ENG0776,AST0356,SEC056,Sleeper Replacement,Broken concrete sleeper,4,LOW,2025-02-20,2025-02-20,2025-04-10,2.7,2,LOW,Scheduled,49,Low
ENG0777,AST0356,SEC056,Sleeper Replacement,Cracked sleeper,4,LOW,2025-01-03,2025-01-06,2025-02-19,10.3,5,LOW,Completed,44,Low
ENG0778,AST0111,SEC036,Welding,Thermit weld defect,2,HIGH,2025-03-29,2025-04-01,2025-04-13,2.2,12,HIGH,Scheduled,12,Normal
ENG0779,AST0162,SEC012,Sleeper Replacement,Decayed wooden sleeper,1,CRITICAL,2025-01-31,2025-02-03,2025-02-10,8.4,5,HIGH,Scheduled,7,Urgent
ENG0780,AST0182,SEC032,Welding,Weld depression,3,MEDIUM,2025-08-29,2025-09-01,2025-09-19,3.7,8,MEDIUM,Completed,18,Normal
ENG0781,AST0368,SEC068,Welding,Misaligned weld,4,LOW,2025-05-23,2025-05-25,2025-06-28,11.8,11,LOW,Completed,34,Low
ENG0782,AST0333,SEC033,Track Alignment,Lateral misalignment,1,CRITICAL,2025-03-23,2025-03-25,2025-03-30,8.9,10,HIGH,Completed,5,Urgent
ENG0783,AST0397,SEC022,Welding,Weld crack,4,LOW,2025-11-05,2025-11-06,2025-12-30,5.3,5,LOW,Pending,54,Low
ENG0784,AST0247,SEC022,Turnout Maintenance,Switch tongue wear,3,MEDIUM,2025-10-03,2025-10-04,2025-10-25,4.5,8,MEDIUM,Completed,21,Normal
ENG0785,AST0283,SEC058,Rail Inspection,Gauge deviation,4,LOW,2025-02-13,2025-02-14,2025-04-12,6.1,11,LOW,Scheduled,57,Low
ENG0786,AST0374,SEC074,Welding,Thermit weld defect,2,HIGH,2025-10-10,2025-10-12,2025-10-27,12.0,5,HIGH,Scheduled,15,Normal
ENG0787,AST0024,SEC024,Track Geometry Correction,Cross-level error,2,HIGH,2025-08-08,2025-08-08,2025-08-22,5.9,4,HIGH,Scheduled,14,Normal
ENG0788,AST0308,SEC008,Track Alignment,Vertical misalignment,3,MEDIUM,2025-06-26,2025-06-27,2025-07-17,6.4,12,MEDIUM,Cancelled,20,Normal
ENG0789,AST0161,SEC011,Ballast Maintenance,Drainage blockage,2,HIGH,2025-08-22,2025-08-24,2025-09-02,9.2,14,HIGH,Scheduled,9,Normal
ENG0790,AST0087,SEC012,Turnout Maintenance,Point mechanism fault,3,MEDIUM,2025-06-22,2025-06-22,2025-07-10,2.6,3,MEDIUM,Pending,18,Normal
ENG0791,AST0306,SEC006,Ballast Maintenance,Insufficient ballast,3,MEDIUM,2025-06-24,2025-06-24,2025-07-10,3.8,6,MEDIUM,Pending,16,Normal
ENG0792,AST0002,SEC002,Rail Inspection,Gauge deviation,2,HIGH,2025-09-05,2025-09-06,2025-09-18,11.8,4,HIGH,Pending,12,Normal
ENG0793,AST0396,SEC021,Track Geometry Correction,Cross-level error,3,MEDIUM,2025-08-25,2025-08-28,2025-09-27,11.0,14,MEDIUM,Scheduled,30,Normal
ENG0794,AST0315,SEC015,Turnout Maintenance,Crossing nose defect,3,MEDIUM,2025-12-16,2025-12-17,2026-01-05,9.9,13,MEDIUM,Completed,19,Normal
ENG0795,AST0126,SEC051,Turnout Maintenance,Switch tongue wear,4,LOW,2025-01-09,2025-01-09,2025-02-22,7.4,4,LOW,Pending,44,Low
ENG0796,AST0335,SEC035,Track Alignment,Lateral misalignment,3,MEDIUM,2025-03-13,2025-03-13,2025-03-29,9.5,7,MEDIUM,Completed,16,Normal
ENG0797,AST0376,SEC001,Welding,Weld depression,4,LOW,2025-09-28,2025-09-29,2025-11-08,8.0,9,LOW,Completed,40,Low
ENG0798,AST0231,SEC006,Sleeper Replacement,Missing sleeper,5,LOW,2025-02-25,2025-02-25,2025-05-04,7.1,15,LOW,Completed,68,Low
ENG0799,AST0273,SEC048,Rail Inspection,Worn rail head,2,HIGH,2025-04-14,2025-04-16,2025-04-29,5.7,3,HIGH,Completed,13,Normal
ENG0800,AST0179,SEC029,Track Geometry Correction,Gauge irregularity,1,CRITICAL,2025-03-21,2025-03-23,2025-03-27,2.4,14,HIGH,Completed,4,Urgent
ENG0801,AST0227,SEC002,Rail Inspection,Gauge deviation,5,LOW,2025-07-18,2025-07-19,2025-09-28,1.5,14,LOW,Completed,71,Low
ENG0802,AST0060,SEC060,Sleeper Replacement,Decayed wooden sleeper,5,LOW,2025-03-24,2025-03-24,2025-06-19,3.8,2,LOW,Scheduled,87,Low
ENG0803,AST0279,SEC054,Ballast Maintenance,Drainage blockage,4,LOW,2025-02-05,2025-02-07,2025-04-03,11.9,9,LOW,Cancelled,55,Low
ENG0804,AST0218,SEC068,Welding,Misaligned weld,2,HIGH,2025-03-26,2025-03-29,2025-04-06,11.9,2,HIGH,Completed,8,Normal
ENG0805,AST0096,SEC021,Welding,Weld crack,4,LOW,2025-02-03,2025-02-03,2025-03-19,6.2,4,LOW,Scheduled,44,Low
ENG0806,AST0170,SEC020,Sleeper Replacement,Broken concrete sleeper,2,HIGH,2025-04-12,2025-04-13,2025-04-27,6.2,12,HIGH,Scheduled,14,Normal
ENG0807,AST0353,SEC053,Welding,Thermit weld defect,4,LOW,2025-08-18,2025-08-21,2025-09-22,3.9,9,LOW,Completed,32,Low
ENG0808,AST0148,SEC073,Sleeper Replacement,Cracked sleeper,2,HIGH,2025-07-20,2025-07-23,2025-08-02,11.6,12,HIGH,Pending,10,Normal
ENG0809,AST0336,SEC036,Welding,Misaligned weld,1,CRITICAL,2025-10-16,2025-10-18,2025-10-22,1.4,11,HIGH,Scheduled,4,Urgent
ENG0810,AST0120,SEC045,Track Geometry Correction,Alignment defect,5,LOW,2025-05-26,2025-05-26,2025-07-29,9.3,6,LOW,Completed,64,Low
ENG0811,AST0267,SEC042,Turnout Maintenance,Switch tongue wear,3,MEDIUM,2025-10-17,2025-10-19,2025-11-18,6.4,14,MEDIUM,Scheduled,30,Normal
ENG0812,AST0152,SEC002,Rail Inspection,Corrugation,4,LOW,2025-12-01,2025-12-02,2025-12-31,5.1,15,LOW,Completed,29,Normal
ENG0813,AST0026,SEC026,Track Alignment,Vertical misalignment,4,LOW,2025-09-09,2025-09-12,2025-11-06,5.6,10,LOW,Completed,55,Low
ENG0814,AST0175,SEC025,Rail Inspection,Rail crack,3,MEDIUM,2025-02-10,2025-02-13,2025-03-11,7.6,13,MEDIUM,Completed,26,Normal
ENG0815,AST0399,SEC024,Track Alignment,Lateral misalignment,3,MEDIUM,2025-10-30,2025-10-30,2025-11-26,9.7,5,MEDIUM,In Progress,27,Normal
ENG0816,AST0366,SEC066,Ballast Maintenance,Drainage blockage,2,HIGH,2025-05-29,2025-05-29,2025-06-09,6.2,7,HIGH,In Progress,11,Normal
ENG0817,AST0220,SEC070,Ballast Maintenance,Insufficient ballast,4,LOW,2025-09-19,2025-09-19,2025-10-16,3.6,4,LOW,Pending,27,Normal
ENG0818,AST0344,SEC044,Ballast Maintenance,Insufficient ballast,2,HIGH,2025-11-20,2025-11-23,2025-11-30,1.8,12,HIGH,In Progress,7,Urgent
ENG0819,AST0102,SEC027,Track Geometry Correction,Gauge irregularity,4,LOW,2025-03-18,2025-03-21,2025-05-04,8.8,8,LOW,Completed,44,Low
ENG0820,AST0081,SEC006,Ballast Maintenance,Vegetation growth,3,MEDIUM,2025-02-05,2025-02-08,2025-03-02,5.0,3,MEDIUM,Completed,22,Normal
ENG0821,AST0291,SEC066,Track Geometry Correction,Cross-level error,3,MEDIUM,2025-01-22,2025-01-22,2025-02-13,9.3,9,MEDIUM,Completed,22,Normal
ENG0822,AST0323,SEC023,Rail Inspection,Gauge deviation,5,LOW,2025-08-25,2025-08-27,2025-10-21,8.2,9,LOW,Completed,55,Low
ENG0823,AST0216,SEC066,Track Geometry Correction,Gauge irregularity,3,MEDIUM,2025-07-08,2025-07-11,2025-07-27,4.5,4,MEDIUM,Completed,16,Normal
ENG0824,AST0344,SEC044,Turnout Maintenance,Crossing nose defect,5,LOW,2025-10-17,2025-10-17,2026-01-14,9.0,2,LOW,Completed,89,Low
ENG0825,AST0003,SEC003,Ballast Maintenance,Vegetation growth,2,HIGH,2025-12-15,2025-12-16,2025-12-25,9.4,3,HIGH,Cancelled,9,Normal
ENG0826,AST0116,SEC041,Turnout Maintenance,Check rail gap,5,LOW,2025-01-16,2025-01-18,2025-03-19,5.6,9,LOW,Completed,60,Low
ENG0827,AST0322,SEC022,Ballast Maintenance,Vegetation growth,3,MEDIUM,2025-02-19,2025-02-20,2025-03-12,11.6,12,MEDIUM,Pending,20,Normal
ENG0828,AST0293,SEC068,Ballast Maintenance,Fouled ballast,3,MEDIUM,2025-09-19,2025-09-21,2025-10-18,4.1,12,MEDIUM,Completed,27,Normal
ENG0829,AST0038,SEC038,Rail Inspection,Rail crack,4,LOW,2025-10-16,2025-10-19,2025-12-15,3.6,2,LOW,Completed,57,Low
ENG0830,AST0314,SEC014,Rail Replacement,End-post fracture,5,LOW,2025-03-18,2025-03-19,2025-05-28,8.6,5,LOW,Pending,70,Low
ENG0831,AST0098,SEC023,Sleeper Replacement,Cracked sleeper,3,MEDIUM,2025-09-11,2025-09-12,2025-10-04,6.0,3,MEDIUM,Scheduled,22,Normal
ENG0832,AST0188,SEC038,Rail Inspection,Worn rail head,4,LOW,2025-02-17,2025-02-20,2025-04-02,6.2,8,LOW,Completed,41,Low
ENG0833,AST0105,SEC030,Sleeper Replacement,Cracked sleeper,3,MEDIUM,2025-11-26,2025-11-27,2025-12-27,3.3,2,MEDIUM,Pending,30,Normal
ENG0834,AST0210,SEC060,Rail Replacement,Severely worn rail,3,MEDIUM,2025-10-25,2025-10-26,2025-11-25,9.6,10,MEDIUM,Pending,30,Normal
ENG0835,AST0291,SEC066,Turnout Maintenance,Crossing nose defect,4,LOW,2025-10-10,2025-10-10,2025-11-18,2.2,13,LOW,Pending,39,Low
ENG0836,AST0081,SEC006,Track Geometry Correction,Alignment defect,3,MEDIUM,2025-10-24,2025-10-26,2025-11-22,1.6,12,MEDIUM,In Progress,27,Normal
ENG0837,AST0210,SEC060,Track Geometry Correction,Gauge irregularity,4,LOW,2025-07-13,2025-07-15,2025-09-06,1.3,4,LOW,Scheduled,53,Low
ENG0838,AST0008,SEC008,Rail Inspection,Surface defect,3,MEDIUM,2025-03-16,2025-03-17,2025-04-04,9.9,6,MEDIUM,Scheduled,18,Normal
ENG0839,AST0103,SEC028,Turnout Maintenance,Check rail gap,1,CRITICAL,2025-06-06,2025-06-07,2025-06-12,5.8,4,HIGH,Completed,5,Urgent
ENG0840,AST0234,SEC009,Welding,Misaligned weld,2,HIGH,2025-09-02,2025-09-02,2025-09-15,11.9,8,HIGH,Completed,13,Normal
ENG0841,AST0377,SEC002,Rail Inspection,Surface defect,1,CRITICAL,2025-03-28,2025-03-31,2025-04-03,6.2,13,HIGH,Pending,3,Urgent
ENG0842,AST0313,SEC013,Sleeper Replacement,Broken concrete sleeper,2,HIGH,2025-04-21,2025-04-23,2025-05-04,10.2,7,HIGH,Completed,11,Normal
ENG0843,AST0304,SEC004,Track Geometry Correction,Gauge irregularity,2,HIGH,2025-11-21,2025-11-22,2025-11-30,9.6,2,HIGH,Scheduled,8,Normal
ENG0844,AST0120,SEC045,Track Alignment,Lateral misalignment,3,MEDIUM,2025-09-19,2025-09-21,2025-10-05,5.8,12,MEDIUM,In Progress,14,Normal
ENG0845,AST0072,SEC072,Rail Inspection,Corrugation,1,CRITICAL,2025-02-23,2025-02-25,2025-03-03,3.1,13,HIGH,Pending,6,Urgent
ENG0846,AST0183,SEC033,Ballast Maintenance,Fouled ballast,4,LOW,2025-01-07,2025-01-08,2025-03-03,11.1,8,LOW,Completed,54,Low
ENG0847,AST0241,SEC016,Welding,Thermit weld defect,5,LOW,2025-07-10,2025-07-12,2025-08-25,11.9,7,LOW,Completed,44,Low
ENG0848,AST0330,SEC030,Rail Replacement,Rail end batter,5,LOW,2025-02-21,2025-02-24,2025-04-15,10.3,13,LOW,Completed,50,Low
ENG0849,AST0023,SEC023,Turnout Maintenance,Crossing nose defect,2,HIGH,2025-11-14,2025-11-17,2025-12-01,11.5,6,HIGH,In Progress,14,Normal
ENG0850,AST0227,SEC002,Turnout Maintenance,Point mechanism fault,1,CRITICAL,2025-02-26,2025-02-27,2025-03-05,4.4,15,HIGH,Pending,6,Urgent
ENG0851,AST0193,SEC043,Rail Replacement,Rail end batter,5,LOW,2025-07-10,2025-07-10,2025-08-29,2.1,9,LOW,Scheduled,50,Low
ENG0852,AST0284,SEC059,Welding,Weld crack,1,CRITICAL,2025-04-21,2025-04-21,2025-04-24,11.8,9,HIGH,Pending,3,Urgent
ENG0853,AST0174,SEC024,Turnout Maintenance,Switch tongue wear,4,LOW,2025-02-02,2025-02-02,2025-03-22,1.1,12,LOW,In Progress,48,Low
ENG0854,AST0261,SEC036,Ballast Maintenance,Drainage blockage,4,LOW,2025-05-14,2025-05-15,2025-07-14,9.5,3,LOW,Completed,60,Low
ENG0855,AST0393,SEC018,Rail Inspection,Rail crack,3,MEDIUM,2025-07-02,2025-07-02,2025-07-19,1.6,15,MEDIUM,Scheduled,17,Normal
ENG0856,AST0197,SEC047,Welding,Thermit weld defect,5,LOW,2025-11-06,2025-11-09,2026-01-19,8.3,15,LOW,Completed,71,Low
ENG0857,AST0268,SEC043,Turnout Maintenance,Crossing nose defect,5,LOW,2025-10-16,2025-10-19,2025-12-07,9.2,14,LOW,Completed,49,Low
ENG0858,AST0253,SEC028,Track Geometry Correction,Cross-level error,3,MEDIUM,2025-09-16,2025-09-18,2025-10-06,9.6,7,MEDIUM,Completed,18,Normal
ENG0859,AST0202,SEC052,Rail Inspection,Gauge deviation,4,LOW,2025-04-11,2025-04-11,2025-06-02,11.4,12,LOW,Pending,52,Low
ENG0860,AST0054,SEC054,Ballast Maintenance,Insufficient ballast,5,LOW,2025-08-11,2025-08-12,2025-09-25,2.6,15,LOW,In Progress,44,Low
ENG0861,AST0203,SEC053,Sleeper Replacement,Decayed wooden sleeper,1,CRITICAL,2025-08-09,2025-08-12,2025-08-16,4.8,13,HIGH,Completed,4,Urgent
ENG0862,AST0318,SEC018,Track Alignment,Vertical misalignment,4,LOW,2025-12-11,2025-12-13,2026-01-18,3.9,6,LOW,Scheduled,36,Low
ENG0863,AST0255,SEC030,Rail Inspection,Corrugation,3,MEDIUM,2025-09-16,2025-09-19,2025-10-19,8.0,4,MEDIUM,Pending,30,Normal
ENG0864,AST0255,SEC030,Sleeper Replacement,Cracked sleeper,2,HIGH,2025-10-16,2025-10-16,2025-10-28,10.3,8,HIGH,Pending,12,Normal
ENG0865,AST0307,SEC007,Sleeper Replacement,Broken concrete sleeper,4,LOW,2025-05-06,2025-05-06,2025-06-01,5.5,5,LOW,Cancelled,26,Normal
ENG0866,AST0372,SEC072,Sleeper Replacement,Missing sleeper,2,HIGH,2025-07-02,2025-07-02,2025-07-13,4.6,8,HIGH,Cancelled,11,Normal
ENG0867,AST0327,SEC027,Track Geometry Correction,Cross-level error,5,LOW,2025-08-05,2025-08-06,2025-10-13,6.6,5,LOW,Scheduled,68,Low
ENG0868,AST0261,SEC036,Track Alignment,Buckling risk,4,LOW,2025-07-24,2025-07-25,2025-09-07,5.7,12,LOW,Completed,44,Low
ENG0869,AST0361,SEC061,Track Alignment,Lateral misalignment,4,LOW,2025-11-02,2025-11-04,2025-12-02,4.3,4,LOW,Completed,28,Normal
ENG0870,AST0350,SEC050,Rail Inspection,Worn rail head,2,HIGH,2025-02-19,2025-02-19,2025-03-04,2.5,14,HIGH,Completed,13,Normal
ENG0871,AST0275,SEC050,Sleeper Replacement,Decayed wooden sleeper,4,LOW,2025-08-21,2025-08-23,2025-09-20,2.3,5,LOW,Scheduled,28,Normal
ENG0872,AST0193,SEC043,Track Alignment,Lateral misalignment,2,HIGH,2025-12-13,2025-12-14,2025-12-27,11.3,8,HIGH,Completed,13,Normal
ENG0873,AST0041,SEC041,Rail Replacement,Severely worn rail,3,MEDIUM,2025-01-06,2025-01-09,2025-01-25,4.5,6,MEDIUM,Scheduled,16,Normal
ENG0874,AST0047,SEC047,Turnout Maintenance,Point mechanism fault,4,LOW,2025-08-28,2025-08-30,2025-10-06,3.9,8,LOW,Completed,37,Low
ENG0875,AST0238,SEC013,Track Alignment,Cant deficiency,1,CRITICAL,2025-06-02,2025-06-03,2025-06-09,9.5,10,HIGH,Pending,6,Urgent
ENG0876,AST0387,SEC012,Sleeper Replacement,Decayed wooden sleeper,3,MEDIUM,2025-06-19,2025-06-21,2025-07-06,4.4,4,MEDIUM,Pending,15,Normal
ENG0877,AST0235,SEC010,Welding,Weld depression,3,MEDIUM,2025-09-15,2025-09-17,2025-10-01,11.0,11,MEDIUM,Pending,14,Normal
ENG0878,AST0047,SEC047,Track Geometry Correction,Alignment defect,4,LOW,2025-07-01,2025-07-01,2025-08-03,4.9,3,LOW,Pending,33,Low
ENG0879,AST0093,SEC018,Track Geometry Correction,Twist fault,4,LOW,2025-01-31,2025-01-31,2025-03-14,11.6,9,LOW,Scheduled,42,Low
ENG0880,AST0233,SEC008,Sleeper Replacement,Missing sleeper,3,MEDIUM,2025-05-05,2025-05-07,2025-06-06,9.6,14,MEDIUM,Completed,30,Normal
