task_id,asset_id,section_id,asset_type,task_type,defect_type,severity,criticality,inspection_date,reported_date,due_date,estimated_duration_hours,required_team_size,safety_impact,status,power_block_required
TRC0698,AST0577,SEC052,Pantograph interface,Switchgear Maintenance,Contactor wear,3,MEDIUM,2025-10-11,2025-10-12,2025-10-26,5.1,8,MEDIUM,Completed,False
TRC0699,AST0484,SEC034,Transformer,Sectioning Post Maintenance,Earthing issue,5,LOW,2025-02-15,2025-02-16,2025-05-17,8.7,3,LOW,Pending,False
TRC0700,AST0472,SEC022,OHE,Insulator Replacement,Flashover damage,1,CRITICAL,2025-09-27,2025-09-29,2025-10-02,3.5,7,HIGH,Pending,True
TRC0701,AST0606,SEC006,Sectioning equipment,Insulator Replacement,Flashover damage,3,MEDIUM,2025-06-17,2025-06-19,2025-07-13,11.4,3,MEDIUM,In Progress,False
TRC0702,AST0453,SEC003,Feeder,OHE Mast Repair,Bracket damage,3,MEDIUM,2025-06-24,2025-06-25,2025-07-14,4.0,3,MEDIUM,Completed,True
TRC0703,AST0685,SEC010,Feeder,OHE Mast Repair,Foundation settlement,3,MEDIUM,2025-08-17,2025-08-19,2025-09-03,3.8,5,MEDIUM,Pending,True
TRC0704,AST0449,SEC074,Pantograph interface,Sectioning Post Maintenance,Interrupter fault,2,HIGH,2025-10-22,2025-10-23,2025-11-03,4.9,8,HIGH,Scheduled,True
TRC0705,AST0533,SEC008,Feeder,Catenary Maintenance,Splice joint fault,2,HIGH,2025-07-13,2025-07-16,2025-07-28,1.6,13,HIGH,Completed,True
TRC0706,AST0598,SEC073,Sectioning equipment,Feeder Repair,Overheating,3,MEDIUM,2025-12-09,2025-12-10,2026-01-05,10.9,7,MEDIUM,Pending,True
TRC0707,AST0412,SEC037,Transformer,OHE Mast Repair,Corrosion,2,HIGH,2025-11-05,2025-11-08,2025-11-18,11.4,2,HIGH,Completed,False
TRC0708,AST0639,SEC039,Electrical switchgear,OHE Inspection,Contact wire wear,3,MEDIUM,2025-12-09,2025-12-10,2026-01-03,3.1,5,MEDIUM,Cancelled,True
TRC0709,AST0505,SEC055,Pantograph interface,Transformer Servicing,Cooling system failure,4,LOW,2025-07-28,2025-07-28,2025-09-25,2.6,7,LOW,Pending,False
TRC0710,AST0401,SEC026,Pantograph interface,Switchgear Maintenance,Relay malfunction,4,LOW,2025-07-10,2025-07-13,2025-09-05,9.1,10,LOW,Pending,False
TRC0711,AST0661,SEC061,Feeder,Sectioning Post Maintenance,Interrupter fault,3,MEDIUM,2025-03-07,2025-03-09,2025-03-31,6.1,6,MEDIUM,Pending,True
TRC0712,AST0503,SEC053,Electrical switchgear,Catenary Maintenance,Catenary sag,4,LOW,2025-09-11,2025-09-11,2025-10-31,4.4,13,LOW,Completed,True
TRC0713,AST0508,SEC058,Transformer,Feeder Repair,Joint failure,2,HIGH,2025-09-12,2025-09-15,2025-09-27,9.6,7,HIGH,Pending,False
TRC0714,AST0481,SEC031,Pantograph interface,Catenary Maintenance,Tension deviation,1,CRITICAL,2025-05-01,2025-05-03,2025-05-06,2.9,13,HIGH,Scheduled,True
TRC0715,AST0542,SEC017,Sectioning equipment,Insulator Replacement,Pollution deposit,2,HIGH,2025-07-21,2025-07-22,2025-08-05,3.6,2,HIGH,Completed,True
TRC0716,AST0472,SEC022,OHE,Catenary Maintenance,Tension deviation,4,LOW,2025-01-14,2025-01-16,2025-02-22,7.4,7,LOW,Completed,True
TRC0717,AST0498,SEC048,Insulator,OHE Inspection,Height deviation,4,LOW,2025-05-27,2025-05-29,2025-06-27,1.8,13,LOW,Completed,True
TRC0718,AST0664,SEC064,OHE,Switchgear Maintenance,Circuit breaker fault,3,MEDIUM,2025-12-06,2025-12-06,2025-12-24,3.6,10,MEDIUM,Scheduled,True
TRC0719,AST0558,SEC033,Sectioning equipment,Switchgear Maintenance,Circuit breaker fault,5,LOW,2025-08-07,2025-08-07,2025-10-30,7.6,11,LOW,Pending,True
TRC0720,AST0573,SEC048,Feeder,Insulator Replacement,Cracked insulator,4,LOW,2025-10-29,2025-11-01,2025-12-30,5.3,9,LOW,Pending,True
TRC0721,AST0642,SEC042,Insulator,Sectioning Post Maintenance,Interrupter fault,3,MEDIUM,2025-01-17,2025-01-18,2025-02-11,3.6,5,MEDIUM,Scheduled,False
TRC0722,AST0473,SEC023,Pantograph interface,Transformer Servicing,Oil leak,1,CRITICAL,2025-07-23,2025-07-23,2025-07-28,5.0,9,HIGH,Scheduled,True
TRC0723,AST0412,SEC037,Transformer,Feeder Repair,Cable damage,3,MEDIUM,2025-05-10,2025-05-10,2025-05-30,11.5,15,MEDIUM,Scheduled,False
TRC0724,AST0647,SEC047,Electrical switchgear,Sectioning Post Maintenance,Earthing issue,2,HIGH,2025-05-04,2025-05-07,2025-05-18,6.3,11,HIGH,Scheduled,True
TRC0725,AST0474,SEC024,Insulator,Catenary Maintenance,Splice joint fault,3,MEDIUM,2025-10-14,2025-10-17,2025-11-04,5.6,8,MEDIUM,Cancelled,True
TRC0726,AST0618,SEC018,Insulator,Sectioning Post Maintenance,Earthing issue,4,LOW,2025-11-07,2025-11-07,2026-01-01,1.2,8,LOW,In Progress,False
TRC0727,AST0629,SEC029,Feeder,Insulator Replacement,Cracked insulator,5,LOW,2025-09-07,2025-09-09,2025-12-01,11.3,7,LOW,Cancelled,True
TRC0728,AST0683,SEC008,Catenary,Feeder Repair,Overheating,2,HIGH,2025-10-11,2025-10-14,2025-10-22,1.9,5,HIGH,Scheduled,True
TRC0729,AST0481,SEC031,Pantograph interface,Sectioning Post Maintenance,Earthing issue,4,LOW,2025-02-24,2025-02-24,2025-04-23,1.9,7,LOW,Scheduled,False
TRC0730,AST0643,SEC043,Catenary,Feeder Repair,Insulation breakdown,4,LOW,2025-04-17,2025-04-17,2025-06-13,4.2,4,LOW,In Progress,True
TRC0731,AST0689,SEC014,Pantograph interface,Sectioning Post Maintenance,Interrupter fault,4,LOW,2025-04-12,2025-04-15,2025-06-08,11.5,3,LOW,Pending,False
TRC0732,AST0489,SEC039,Pantograph interface,Transformer Servicing,Oil leak,3,MEDIUM,2025-03-04,2025-03-04,2025-03-24,3.4,12,MEDIUM,Scheduled,False
TRC0733,AST0568,SEC043,OHE,Sectioning Post Maintenance,Isolator defect,1,CRITICAL,2025-06-29,2025-07-02,2025-07-05,4.1,11,HIGH,Completed,False
TRC0734,AST0582,SEC057,Sectioning equipment,Insulator Replacement,Flashover damage,3,MEDIUM,2025-02-12,2025-02-12,2025-03-12,7.5,8,MEDIUM,Scheduled,True
TRC0735,AST0590,SEC065,Sectioning equipment,Switchgear Maintenance,Circuit breaker fault,4,LOW,2025-04-27,2025-04-30,2025-05-25,7.7,3,LOW,In Progress,True
TRC0736,AST0641,SEC041,Pantograph interface,Insulator Replacement,Flashover damage,4,LOW,2025-02-28,2025-02-28,2025-04-28,10.8,7,LOW,Scheduled,False
TRC0737,AST0617,SEC017,Pantograph interface,Catenary Maintenance,Tension deviation,2,HIGH,2025-04-09,2025-04-12,2025-04-26,2.4,5,HIGH,Completed,False
TRC0738,AST0448,SEC073,OHE,Insulator Replacement,Flashover damage,1,CRITICAL,2025-03-09,2025-03-11,2025-03-17,10.6,15,HIGH,Cancelled,True
TRC0739,AST0697,SEC022,Pantograph interface,OHE Mast Repair,Foundation settlement,2,HIGH,2025-12-14,2025-12-15,2025-12-28,11.0,14,HIGH,Completed,False
TRC0740,AST0675,SEC075,Catenary,Transformer Servicing,Cooling system failure,4,LOW,2025-05-05,2025-05-08,2025-06-08,6.1,7,LOW,Completed,False
TRC0741,AST0586,SEC061,Insulator,Sectioning Post Maintenance,Interrupter fault,1,CRITICAL,2025-07-22,2025-07-24,2025-07-31,9.4,12,HIGH,Completed,False
TRC0742,AST0443,SEC068,Catenary,Insulator Replacement,Cracked insulator,3,MEDIUM,2025-07-23,2025-07-26,2025-08-09,3.9,5,MEDIUM,Completed,True
TRC0743,AST0577,SEC052,Pantograph interface,OHE Mast Repair,Guy wire slack,2,HIGH,2025-04-21,2025-04-21,2025-05-03,10.4,12,HIGH,Completed,False
TRC0744,AST0681,SEC006,Pantograph interface,OHE Mast Repair,Corrosion,2,HIGH,2025-03-25,2025-03-25,2025-04-06,4.4,3,HIGH,Scheduled,False
TRC0745,AST0539,SEC014,Catenary,Feeder Repair,Joint failure,3,MEDIUM,2025-08-23,2025-08-26,2025-09-09,11.7,6,MEDIUM,Scheduled,True
TRC0746,AST0550,SEC025,Sectioning equipment,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-08-09,2025-08-10,2025-09-09,6.1,5,MEDIUM,Scheduled,True
TRC0747,AST0590,SEC065,Sectioning equipment,Sectioning Post Maintenance,Interrupter fault,3,MEDIUM,2025-10-14,2025-10-17,2025-11-03,8.8,5,MEDIUM,Completed,True
TRC0748,AST0696,SEC021,OHE,Catenary Maintenance,Splice joint fault,3,MEDIUM,2025-11-26,2025-11-28,2025-12-17,4.2,9,MEDIUM,Completed,True
TRC0749,AST0509,SEC059,Feeder,OHE Inspection,Stagger fault,3,MEDIUM,2025-02-08,2025-02-08,2025-02-26,11.9,10,MEDIUM,Scheduled,True
TRC0750,AST0608,SEC008,OHE,Sectioning Post Maintenance,Isolator defect,5,LOW,2025-07-08,2025-07-10,2025-08-19,8.8,3,LOW,Scheduled,True
TRC0751,AST0553,SEC028,Pantograph interface,Catenary Maintenance,Catenary sag,4,LOW,2025-06-15,2025-06-17,2025-07-28,10.5,15,LOW,Cancelled,True
TRC0752,AST0659,SEC059,Catenary,OHE Inspection,Dropper defect,2,HIGH,2025-09-25,2025-09-28,2025-10-12,3.1,12,HIGH,Scheduled,True
TRC0753,AST0434,SEC059,Insulator,Catenary Maintenance,Registration arm damage,3,MEDIUM,2025-08-02,2025-08-05,2025-08-27,10.1,7,MEDIUM,Pending,False
TRC0754,AST0584,SEC059,OHE,Switchgear Maintenance,Circuit breaker fault,1,CRITICAL,2025-07-12,2025-07-15,2025-07-21,7.8,3,HIGH,Pending,True
TRC0755,AST0539,SEC014,Catenary,Transformer Servicing,Winding fault,2,HIGH,2025-08-17,2025-08-19,2025-08-31,8.8,5,HIGH,Scheduled,True
TRC0756,AST0631,SEC031,Electrical switchgear,Insulator Replacement,Mechanical failure,4,LOW,2025-06-06,2025-06-09,2025-07-04,5.5,13,LOW,In Progress,False
TRC0757,AST0679,SEC004,Electrical switchgear,Catenary Maintenance,Catenary sag,3,MEDIUM,2025-11-24,2025-11-27,2025-12-27,10.9,6,MEDIUM,Scheduled,True
TRC0758,AST0466,SEC016,Insulator,OHE Inspection,Contact wire wear,2,HIGH,2025-03-15,2025-03-16,2025-03-24,8.4,10,HIGH,In Progress,True
TRC0759,AST0428,SEC053,Transformer,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-10-21,2025-10-24,2025-11-10,3.0,8,MEDIUM,Completed,True
TRC0760,AST0404,SEC029,Transformer,Switchgear Maintenance,Arc damage,3,MEDIUM,2025-06-04,2025-06-05,2025-06-30,9.4,2,MEDIUM,Pending,False
TRC0761,AST0432,SEC057,OHE,Feeder Repair,Cable damage,2,HIGH,2025-03-30,2025-04-01,2025-04-13,9.7,10,HIGH,Scheduled,False
TRC0762,AST0633,SEC033,Pantograph interface,Catenary Maintenance,Catenary sag,3,MEDIUM,2025-05-16,2025-05-18,2025-06-03,9.4,7,MEDIUM,Completed,True
TRC0763,AST0632,SEC032,OHE,Feeder Repair,Overheating,3,MEDIUM,2025-05-21,2025-05-23,2025-06-20,1.0,2,MEDIUM,Completed,True
TRC0764,AST0522,SEC072,Insulator,Transformer Servicing,Cooling system failure,2,HIGH,2025-08-19,2025-08-21,2025-09-05,10.4,6,HIGH,Scheduled,False
TRC0765,AST0695,SEC020,Electrical switchgear,Catenary Maintenance,Catenary sag,4,LOW,2025-04-13,2025-04-13,2025-06-04,5.0,12,LOW,Scheduled,True
TRC0766,AST0552,SEC027,OHE,Catenary Maintenance,Catenary sag,2,HIGH,2025-02-08,2025-02-09,2025-02-17,9.7,13,HIGH,Completed,True
TRC0767,AST0403,SEC028,Catenary,Transformer Servicing,Oil leak,3,MEDIUM,2025-03-11,2025-03-12,2025-04-08,11.5,4,MEDIUM,In Progress,True
TRC0768,AST0472,SEC022,OHE,OHE Mast Repair,Guy wire slack,2,HIGH,2025-07-23,2025-07-26,2025-08-08,9.4,5,HIGH,Scheduled,True
TRC0769,AST0483,SEC033,Catenary,Catenary Maintenance,Tension deviation,4,LOW,2025-11-06,2025-11-06,2025-12-25,6.6,15,LOW,Scheduled,False
TRC0770,AST0475,SEC025,Catenary,Insulator Replacement,Flashover damage,2,HIGH,2025-04-12,2025-04-13,2025-04-23,6.8,10,HIGH,Completed,False
TRC0771,AST0619,SEC019,Catenary,Transformer Servicing,Oil leak,4,LOW,2025-02-10,2025-02-10,2025-04-06,8.6,13,LOW,Completed,True
TRC0772,AST0572,SEC047,Transformer,Feeder Repair,Overheating,2,HIGH,2025-02-27,2025-03-01,2025-03-11,6.8,12,HIGH,Completed,True
TRC0773,AST0557,SEC032,Feeder,OHE Inspection,Contact wire wear,3,MEDIUM,2025-09-26,2025-09-28,2025-10-12,9.9,15,MEDIUM,Scheduled,True
TRC0774,AST0437,SEC062,Feeder,Catenary Maintenance,Splice joint fault,3,MEDIUM,2025-01-31,2025-02-03,2025-03-05,5.5,2,MEDIUM,Completed,True
TRC0775,AST0670,SEC070,Sectioning equipment,Sectioning Post Maintenance,Interrupter fault,2,HIGH,2025-04-04,2025-04-05,2025-04-15,11.2,5,HIGH,Completed,True
TRC0776,AST0584,SEC059,OHE,Sectioning Post Maintenance,Isolator defect,5,LOW,2025-02-09,2025-02-09,2025-05-08,1.2,2,LOW,Completed,True
TRC0777,AST0697,SEC022,Pantograph interface,Switchgear Maintenance,Relay malfunction,1,CRITICAL,2025-10-08,2025-10-11,2025-10-16,1.6,7,HIGH,In Progress,False
TRC0778,AST0580,SEC055,Transformer,Feeder Repair,Overheating,3,MEDIUM,2025-04-03,2025-04-05,2025-04-20,8.6,6,MEDIUM,Pending,False
TRC0779,AST0480,SEC030,OHE,Switchgear Maintenance,Relay malfunction,5,LOW,2025-02-02,2025-02-04,2025-03-16,3.9,14,LOW,Pending,True
TRC0780,AST0405,SEC030,Feeder,OHE Mast Repair,Guy wire slack,3,MEDIUM,2025-07-15,2025-07-16,2025-08-02,10.0,4,MEDIUM,Completed,True
TRC0781,AST0659,SEC059,Catenary,OHE Mast Repair,Foundation settlement,3,MEDIUM,2025-07-11,2025-07-14,2025-08-02,3.2,4,MEDIUM,Scheduled,True
TRC0782,AST0474,SEC024,Insulator,OHE Inspection,Height deviation,3,MEDIUM,2025-02-03,2025-02-04,2025-02-19,11.1,4,MEDIUM,In Progress,True
TRC0783,AST0576,SEC051,OHE,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-12-12,2025-12-13,2025-12-30,2.5,15,MEDIUM,In Progress,True
TRC0784,AST0617,SEC017,Pantograph interface,Feeder Repair,Insulation breakdown,3,MEDIUM,2025-01-28,2025-01-31,2025-02-14,5.3,14,MEDIUM,Completed,False
TRC0785,AST0544,SEC019,OHE,Insulator Replacement,Cracked insulator,3,MEDIUM,2025-11-19,2025-11-22,2025-12-15,1.8,3,MEDIUM,Pending,False
TRC0786,AST0669,SEC069,Feeder,OHE Mast Repair,Foundation settlement,2,HIGH,2025-05-07,2025-05-09,2025-05-19,6.9,10,HIGH,Scheduled,True
TRC0787,AST0529,SEC004,Pantograph interface,Sectioning Post Maintenance,Jumper damage,4,LOW,2025-09-28,2025-09-28,2025-10-30,1.8,3,LOW,Scheduled,False
TRC0788,AST0490,SEC040,Insulator,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-11-12,2025-11-12,2025-12-11,9.9,4,MEDIUM,Completed,False
TRC0789,AST0494,SEC044,Sectioning equipment,OHE Inspection,Stagger fault,4,LOW,2025-07-15,2025-07-18,2025-08-23,1.2,13,LOW,Completed,True
TRC0790,AST0427,SEC052,Catenary,Switchgear Maintenance,Circuit breaker fault,2,HIGH,2025-07-06,2025-07-09,2025-07-20,8.1,11,HIGH,Pending,True
TRC0791,AST0681,SEC006,Pantograph interface,Feeder Repair,Cable damage,3,MEDIUM,2025-02-16,2025-02-17,2025-03-14,1.5,13,MEDIUM,Completed,True
TRC0792,AST0452,SEC002,Transformer,Catenary Maintenance,Tension deviation,4,LOW,2025-11-07,2025-11-08,2025-12-09,10.6,3,LOW,Completed,True
TRC0793,AST0539,SEC014,Catenary,OHE Mast Repair,Bracket damage,4,LOW,2025-05-25,2025-05-26,2025-06-23,9.0,5,LOW,Pending,True
TRC0794,AST0680,SEC005,OHE,OHE Inspection,Height deviation,4,LOW,2025-02-03,2025-02-04,2025-03-08,5.4,7,LOW,Cancelled,True
TRC0795,AST0541,SEC016,Feeder,Catenary Maintenance,Registration arm damage,3,MEDIUM,2025-07-13,2025-07-16,2025-08-01,3.6,11,MEDIUM,Completed,True
TRC0796,AST0619,SEC019,Catenary,Insulator Replacement,Pollution deposit,1,CRITICAL,2025-04-24,2025-04-26,2025-05-01,8.2,12,HIGH,Completed,False
TRC0797,AST0535,SEC010,Electrical switchgear,Transformer Servicing,Cooling system failure,1,CRITICAL,2025-04-10,2025-04-11,2025-04-14,1.1,15,HIGH,Scheduled,True
TRC0798,AST0605,SEC005,Feeder,Catenary Maintenance,Registration arm damage,1,CRITICAL,2025-07-18,2025-07-18,2025-07-25,4.8,11,HIGH,Completed,False
TRC0799,AST0467,SEC017,Catenary,OHE Inspection,Dropper defect,4,LOW,2025-08-17,2025-08-18,2025-09-30,1.5,9,LOW,Completed,True
TRC0800,AST0654,SEC054,Sectioning equipment,Insulator Replacement,Cracked insulator,4,LOW,2025-07-27,2025-07-30,2025-09-24,1.5,14,LOW,Pending,True
TRC0801,AST0461,SEC011,Feeder,Switchgear Maintenance,Arc damage,2,HIGH,2025-01-19,2025-01-21,2025-01-30,3.2,8,HIGH,Completed,True
TRC0802,AST0443,SEC068,Catenary,Catenary Maintenance,Registration arm damage,4,LOW,2025-02-14,2025-02-14,2025-04-15,9.7,12,LOW,Completed,True
TRC0803,AST0543,SEC018,Electrical switchgear,Feeder Repair,Joint failure,2,HIGH,2025-09-13,2025-09-15,2025-09-23,6.6,13,HIGH,Completed,False
TRC0804,AST0551,SEC026,Electrical switchgear,OHE Inspection,Stagger fault,5,LOW,2025-12-19,2025-12-21,2026-03-10,8.2,2,LOW,Pending,True
TRC0805,AST0547,SEC022,Catenary,OHE Inspection,Stagger fault,2,HIGH,2025-10-03,2025-10-04,2025-10-14,4.4,14,HIGH,Scheduled,True
TRC0806,AST0698,SEC023,Insulator,OHE Mast Repair,Bracket damage,3,MEDIUM,2025-04-05,2025-04-05,2025-05-05,3.0,15,MEDIUM,Scheduled,False
TRC0807,AST0474,SEC024,Insulator,Catenary Maintenance,Tension deviation,2,HIGH,2025-11-21,2025-11-22,2025-12-06,8.0,7,HIGH,Cancelled,False
TRC0808,AST0568,SEC043,OHE,Transformer Servicing,Winding fault,2,HIGH,2025-12-17,2025-12-18,2025-12-31,10.6,2,HIGH,Pending,True
TRC0809,AST0528,SEC003,OHE,Catenary Maintenance,Tension deviation,2,HIGH,2025-12-01,2025-12-02,2025-12-14,2.7,6,HIGH,Pending,True
TRC0810,AST0560,SEC035,OHE,Switchgear Maintenance,Relay malfunction,3,MEDIUM,2025-11-09,2025-11-09,2025-12-01,5.3,7,MEDIUM,Scheduled,True
TRC0811,AST0633,SEC033,Pantograph interface,Insulator Replacement,Mechanical failure,3,MEDIUM,2025-09-03,2025-09-04,2025-09-30,9.8,2,MEDIUM,Scheduled,False
TRC0812,AST0419,SEC044,Catenary,OHE Mast Repair,Foundation settlement,3,MEDIUM,2025-01-23,2025-01-24,2025-02-12,4.2,11,MEDIUM,Cancelled,True
TRC0813,AST0453,SEC003,Feeder,Catenary Maintenance,Catenary sag,4,LOW,2025-06-13,2025-06-16,2025-08-04,1.0,3,LOW,Completed,True
TRC0814,AST0514,SEC064,Insulator,Sectioning Post Maintenance,Interrupter fault,3,MEDIUM,2025-10-11,2025-10-12,2025-11-01,4.3,5,MEDIUM,Completed,False
TRC0815,AST0631,SEC031,Electrical switchgear,OHE Inspection,Stagger fault,3,MEDIUM,2025-05-24,2025-05-25,2025-06-12,8.3,13,MEDIUM,Pending,False
TRC0816,AST0447,SEC072,Electrical switchgear,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-05-19,2025-05-19,2025-06-03,4.0,6,MEDIUM,Pending,False
TRC0817,AST0672,SEC072,OHE,Insulator Replacement,Cracked insulator,3,MEDIUM,2025-02-21,2025-02-22,2025-03-17,9.9,8,MEDIUM,Completed,True
TRC0818,AST0656,SEC056,OHE,Feeder Repair,Insulation breakdown,4,LOW,2025-02-20,2025-02-20,2025-03-17,2.6,7,LOW,Completed,False
TRC0819,AST0600,SEC075,OHE,Catenary Maintenance,Registration arm damage,2,HIGH,2025-11-27,2025-11-27,2025-12-04,9.9,14,HIGH,Pending,True
TRC0820,AST0450,SEC075,Insulator,Insulator Replacement,Flashover damage,3,MEDIUM,2025-03-16,2025-03-18,2025-04-11,9.4,8,MEDIUM,Completed,True
TRC0821,AST0559,SEC034,Electrical switchgear,Transformer Servicing,Winding fault,4,LOW,2025-02-05,2025-02-08,2025-03-24,8.7,15,LOW,Completed,False
TRC0822,AST0645,SEC045,Feeder,Catenary Maintenance,Registration arm damage,2,HIGH,2025-05-10,2025-05-11,2025-05-25,5.1,12,HIGH,Cancelled,True
TRC0823,AST0513,SEC063,Pantograph interface,Sectioning Post Maintenance,Jumper damage,3,MEDIUM,2025-02-25,2025-02-28,2025-03-20,6.4,5,MEDIUM,Scheduled,True
TRC0824,AST0495,SEC045,Electrical switchgear,Feeder Repair,Overheating,2,HIGH,2025-09-25,2025-09-27,2025-10-10,11.6,15,HIGH,Completed,False
TRC0825,AST0652,SEC052,Transformer,Catenary Maintenance,Registration arm damage,4,LOW,2025-07-08,2025-07-09,2025-09-02,7.8,8,LOW,In Progress,False
TRC0826,AST0609,SEC009,Pantograph interface,Switchgear Maintenance,Relay malfunction,1,CRITICAL,2025-09-19,2025-09-21,2025-09-28,5.3,8,HIGH,Cancelled,True
TRC0827,AST0538,SEC013,Insulator,Sectioning Post Maintenance,Isolator defect,3,MEDIUM,2025-03-28,2025-03-29,2025-04-26,8.3,9,MEDIUM,Completed,False
TRC0828,AST0680,SEC005,OHE,OHE Inspection,Contact wire wear,5,LOW,2025-08-20,2025-08-22,2025-11-19,5.0,5,LOW,Completed,True
TRC0829,AST0677,SEC002,Feeder,Transformer Servicing,Bushing defect,3,MEDIUM,2025-05-18,2025-05-18,2025-06-16,5.9,10,MEDIUM,Pending,True
TRC0830,AST0461,SEC011,Feeder,Transformer Servicing,Cooling system failure,2,HIGH,2025-06-09,2025-06-11,2025-06-23,5.1,11,HIGH,Cancelled,True
TRC0831,AST0684,SEC009,Transformer,Transformer Servicing,Winding fault,3,MEDIUM,2025-11-25,2025-11-27,2025-12-27,3.4,2,MEDIUM,Scheduled,True
TRC0832,AST0650,SEC050,Insulator,OHE Inspection,Stagger fault,3,MEDIUM,2025-12-13,2025-12-13,2026-01-07,11.9,3,MEDIUM,In Progress,False
TRC0833,AST0459,SEC009,Catenary,Sectioning Post Maintenance,Isolator defect,2,HIGH,2025-08-09,2025-08-12,2025-08-23,2.4,5,HIGH,Completed,True
TRC0834,AST0671,SEC071,Electrical switchgear,Catenary Maintenance,Tension deviation,3,MEDIUM,2025-01-20,2025-01-20,2025-02-18,6.2,5,MEDIUM,Cancelled,True
TRC0835,AST0604,SEC004,Transformer,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-03-16,2025-03-19,2025-04-03,3.6,4,MEDIUM,Completed,True
TRC0836,AST0638,SEC038,Sectioning equipment,Insulator Replacement,Cracked insulator,4,LOW,2025-10-04,2025-10-04,2025-11-08,8.0,9,LOW,Completed,True
TRC0837,AST0448,SEC073,OHE,Catenary Maintenance,Catenary sag,4,LOW,2025-04-04,2025-04-04,2025-05-10,6.6,13,LOW,Pending,False
TRC0838,AST0485,SEC035,Feeder,Feeder Repair,Insulation breakdown,4,LOW,2025-10-12,2025-10-12,2025-12-09,5.8,2,LOW,Pending,True
TRC0839,AST0614,SEC014,Sectioning equipment,OHE Inspection,Stagger fault,3,MEDIUM,2025-10-07,2025-10-08,2025-10-27,5.3,12,MEDIUM,Scheduled,False
TRC0840,AST0472,SEC022,OHE,Insulator Replacement,Flashover damage,3,MEDIUM,2025-05-02,2025-05-05,2025-05-20,11.6,5,MEDIUM,Pending,True
TRC0841,AST0654,SEC054,Sectioning equipment,Switchgear Maintenance,Relay malfunction,3,MEDIUM,2025-03-18,2025-03-19,2025-04-09,1.4,11,MEDIUM,Completed,True
TRC0842,AST0406,SEC031,Sectioning equipment,OHE Inspection,Height deviation,2,HIGH,2025-11-10,2025-11-12,2025-11-23,3.9,5,HIGH,Completed,True
TRC0843,AST0562,SEC037,Insulator,Feeder Repair,Joint failure,3,MEDIUM,2025-04-21,2025-04-24,2025-05-20,6.7,15,MEDIUM,Scheduled,True
TRC0844,AST0692,SEC017,Transformer,Catenary Maintenance,Registration arm damage,1,CRITICAL,2025-10-10,2025-10-10,2025-10-14,6.8,14,HIGH,Completed,True
TRC0845,AST0580,SEC055,Transformer,Sectioning Post Maintenance,Jumper damage,3,MEDIUM,2025-05-23,2025-05-24,2025-06-22,4.8,10,MEDIUM,Scheduled,True
TRC0846,AST0560,SEC035,OHE,Transformer Servicing,Winding fault,5,LOW,2025-12-01,2025-12-04,2026-02-02,5.4,10,LOW,Scheduled,False
TRC0847,AST0622,SEC022,Sectioning equipment,Catenary Maintenance,Tension deviation,2,HIGH,2025-06-15,2025-06-16,2025-06-28,4.7,11,HIGH,In Progress,False
TRC0848,AST0450,SEC075,Insulator,Catenary Maintenance,Catenary sag,4,LOW,2025-10-21,2025-10-24,2025-11-29,3.9,12,LOW,Pending,False
TRC0849,AST0691,SEC016,Catenary,Switchgear Maintenance,Circuit breaker fault,2,HIGH,2025-01-17,2025-01-20,2025-02-03,10.4,2,HIGH,Cancelled,True
TRC0850,AST0653,SEC053,Feeder,Sectioning Post Maintenance,Interrupter fault,4,LOW,2025-03-17,2025-03-18,2025-04-29,9.6,6,LOW,In Progress,True
TRC0851,AST0547,SEC022,Catenary,Sectioning Post Maintenance,Isolator defect,4,LOW,2025-08-13,2025-08-15,2025-10-05,6.1,2,LOW,Pending,True
TRC0852,AST0552,SEC027,OHE,Insulator Replacement,Pollution deposit,2,HIGH,2025-08-14,2025-08-17,2025-08-24,2.8,6,HIGH,Completed,True
TRC0853,AST0563,SEC038,Catenary,Switchgear Maintenance,Contactor wear,2,HIGH,2025-05-21,2025-05-21,2025-06-05,4.9,2,HIGH,Completed,True
TRC0854,AST0635,SEC035,Catenary,Insulator Replacement,Pollution deposit,3,MEDIUM,2025-04-22,2025-04-23,2025-05-23,9.8,13,MEDIUM,Completed,True
TRC0855,AST0467,SEC017,Catenary,Switchgear Maintenance,Relay malfunction,4,LOW,2025-10-31,2025-11-02,2025-12-24,8.0,12,LOW,Completed,True
TRC0856,AST0687,SEC012,Electrical switchgear,Catenary Maintenance,Catenary sag,3,MEDIUM,2025-04-26,2025-04-28,2025-05-28,10.9,8,MEDIUM,Pending,False
TRC0857,AST0586,SEC061,Insulator,OHE Mast Repair,Corrosion,3,MEDIUM,2025-04-12,2025-04-12,2025-05-12,4.7,5,MEDIUM,Completed,False
TRC0858,AST0698,SEC023,Insulator,Feeder Repair,Cable damage,3,MEDIUM,2025-01-15,2025-01-17,2025-02-14,7.3,8,MEDIUM,Pending,True
